coach_id,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,weight,height,position,experience,occupation,team_id,former_player_id,quick_left,contract_salary,contract_years,contract_extension_salary,contract_extension_years,scout_major,scout_minor,scout_international,scout_amateur,scout_amateur_preference,teach_hitting,teach_pitching,teach_c,teach_if,teach_of,handle_veterans,handle_rookies,handle_players,heal_legs,heal_arms,heal_back,heal_other,heal_rest,management_style,personality,hitting_focus,pitching_focus,training_focus,teach_running,prevent_legs,prevent_arms,prevent_back,prevent_other,stealing,running,pinchrun,pinchhit_pos,pinchhit_pitch,hook_start,hook_relief,closer,lr_matchup,bunt_hit,bunt,hit_run,run_hit,squeeze,pitch_around,intentional_walk,hold_runner,guard_lines,infield_in,outfield_in,corners_in,shift_if,shift_of,opener,num_pitchers,num_hitters,favor_speed_to_power,favor_avg_to_obp,favor_defense_to_offense,favor_pitching_to_hitting,favor_veterans_to_prospects,trade_aggressiveness,player_loyalty,trade_frequency,trade_preference,value_stats,value_this_year,value_last_year,value_two_years,draft_value,intl_fa_value,develop_value,ratings_value,manager_value,pitching_coach_value,hitting_coach_value,scout_value,doctor_value,basecoach_value
1,"Chris","Carpenter","",65,"1975-4-27",24360,206,230,198,6,0,6,0,4302,26,0,0,0,0,73,90,69,99,3,20,24,8,21,23,20,14,27,0,0,0,0,0,0,0,3,2,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,4,1,-2,-5,-2,2,4,0,0,12,5,2,1,-4,6,-7,3,52,23,20,85,0,30
2,"Tyler","Holt","",51,"1989-3-10",48289,206,216,178,5,0,5,0,30674,0,0,0,0,0,8,8,1,15,1,114,25,28,20,10,81,93,146,0,0,0,0,0,5,2,3,3,0,34,0,0,0,0,1,2,3,3,2,-2,-1,0,3,-1,1,-1,1,-1,1,3,-1,2,3,2,3,2,3,1,0,0,0,5,10,0,1,-9,2,1,0,13,4,2,1,-1,-1,3,-1,55,45,112,10,0,41
3,"Bryan","Salsbury","B.J.",50,"1989-10-22",70089,206,185,188,4,0,4,0,30306,0,0,0,0,0,6,9,0,12,3,34,172,9,42,31,156,135,112,0,0,0,0,0,0,1,3,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-4,3,-7,0,-1,3,1,0,12,5,2,1,-7,-2,5,-5,72,163,59,8,0,49
4,"Pat","Corrales","",99,"1941-3-20",41955,206,195,183,1,21,2,0,5014,0,0,0,0,0,0,0,0,0,1,88,41,72,82,81,134,129,154,0,0,0,0,0,1,2,3,3,0,76,0,0,0,0,0,0,1,0,0,-1,0,0,-1,0,1,0,0,0,-1,1,0,0,-1,0,0,1,0,-5,0,0,0,0,1,-2,3,0,5,0,0,12,3,3,2,-2,-2,8,8,127,66,101,0,0,90
5,"Scott","Van Slyke","",53,"1986-7-24",69095,206,225,193,6,0,6,0,24514,26,0,0,0,0,97,71,99,63,1,21,3,9,11,22,3,14,15,0,0,0,0,0,0,2,0,3,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,-5,3,-3,6,2,-6,1,0,0,13,5,1,1,-4,-1,4,6,55,5,18,80,0,34
6,"Dennis","Hurtarte","",47,"1993-6-10",26910,80,221,188,5,0,5,0,37833,0,0,0,0,0,21,7,30,7,3,89,5,19,18,4,111,99,154,0,0,0,0,0,0,2,3,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,4,1,1,1,0,13,3,2,2,4,1,-9,-4,47,34,97,14,0,39
7,"Stan","Kasten","",88,"1952-2-1",43345,206,180,180,2,26,3,0,0,0,0,0,0,0,151,133,139,155,0,0,0,1,9,1,0,0,104,0,0,0,0,0,3,1,3,3,0,57,0,0,0,0,2,-1,1,2,3,2,0,0,0,0,3,3,0,3,2,0,0,0,0,0,0,-2,0,-5,0,0,1,7,-5,-3,-3,0,5,-1,-1,12,6,1,1,-1,-3,6,-3,64,9,9,147,0,29
8,"Alex","Anthopoulos","",62,"1977-9-15",51650,36,190,179,3,11,1,0,0,6,0,0,0,0,139,135,125,141,4,0,0,7,3,1,0,0,1,0,0,0,0,0,0,1,3,3,0,42,0,0,0,0,-3,1,3,2,3,-1,-3,0,3,0,-2,-1,0,-3,-2,-3,0,0,0,0,0,3,0,-5,0,0,-1,3,-2,-4,2,-5,2,0,0,15,3,1,1,0,-6,3,-7,57,0,0,137,0,16
9,"Cameron","McCarty","",42,"1997-9-2",0,206,164,175,1,0,2,0,25718,0,0,0,0,0,11,5,8,4,2,108,75,70,70,81,80,88,142,0,0,0,0,0,1,2,3,3,0,103,0,0,0,0,-1,-1,0,1,-1,1,1,3,0,-1,-1,1,-1,-1,-1,0,-1,1,0,-1,-1,1,-1,-3,0,0,9,4,-3,3,2,4,1,-2,0,13,5,1,1,5,-1,-6,-2,91,82,107,7,0,88
10,"Brett","Hileman","",45,"1994-7-20",32293,206,181,180,5,0,5,0,27448,0,0,0,0,0,9,19,16,27,2,105,19,1,1,1,85,93,145,0,0,0,0,0,0,2,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-3,5,6,-5,0,3,0,-1,11,5,2,2,2,-2,3,-1,43,41,106,18,0,26
11,"Luis A.","Garcia","",53,"1987-1-30",71432,56,238,191,4,0,4,0,29028,0,0,0,0,0,12,4,3,1,3,1,77,22,20,11,76,68,135,0,0,0,0,0,0,3,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,1,0,3,-4,5,6,2,0,0,14,3,2,1,-4,-1,-3,0,42,81,24,6,0,34
12,"Jose","Cruz","Cheo",92,"1947-8-8",4194,151,175,183,1,11,2,0,0,0,0,0,0,0,17,0,0,0,3,111,10,150,160,150,114,119,165,0,0,0,0,0,3,2,3,3,0,99,0,0,0,0,1,-2,1,1,1,2,2,0,-1,0,5,5,0,2,0,2,0,0,0,0,0,-1,0,-5,0,0,-1,7,-1,2,-5,0,0,0,0,13,4,2,1,0,0,0,0,138,41,116,6,0,132
13,"Andrew","Tinnish","",64,"1976-4-5",63789,36,170,186,3,8,1,0,0,5,0,0,0,0,114,120,170,130,4,0,0,1,1,5,0,0,1,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,4,6,3,-3,3,0,0,0,0,13,4,3,0,0,0,0,0,31,0,0,127,0,3
14,"Alex","Herrnberger","",53,"1986-7-6",69748,206,182,183,5,0,5,0,26447,0,0,0,0,0,2,5,6,3,3,76,19,41,47,39,68,76,132,0,0,0,0,0,1,2,1,3,0,47,0,0,0,0,0,0,-1,0,1,1,-1,3,1,1,0,1,1,1,1,1,-1,-1,0,0,1,1,1,-5,0,0,-1,-1,2,0,0,0,1,0,0,13,4,3,0,3,6,-5,1,58,37,80,3,0,53
15,"Julio","Ramos","",52,"1988-2-13",35048,56,158,185,4,0,4,0,32545,0,0,0,0,0,2,22,13,30,1,18,83,1,11,1,93,94,145,0,0,0,0,0,0,2,2,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-3,3,-3,5,-1,3,0,0,12,3,3,2,-7,-6,0,-6,41,90,41,17,0,27
